DisplayName;Napoletano
Culture;it-it
Dialect;na
1;text;l'italia
2;text;a piccirella
3;text;a jatta
4;text;o puorc'
5;text;a man'
6;text;chella ca guard 'nterra
7;text;o vase
8;text;a madonna
9;text;a figliata
10;text;e fasule
11;text;e suricille
12;text;o surdate
13;text;Sant'antonio
14;text;o 'mbriaco
15;text;o guaglione
16;text;o culo
17;text;a disgrazzia
18;text;o 'sanghe
19;text;a resata
20;text;a festa
21;text;a femmena annura
22;text;o pazzo
23;text;o scem'
24;text;e guarddie
25;text;Natal'
26;text;nanninella
27;text;ocantero
28;text;e zzizze
29;text;o pate d'e criature
30;text;‘E Ppalle d”o Tenente
31;text;‘O Padrone ‘e Casa
32;text;‘O Capitone
33;text;L’Anne ‘e Cristo
34;text;‘A Capa
35;text;L’Aucelluzz
36;text;‘E Ccastagnelle
37;text;‘O Monaco
38;text;‘E Mmazzate
39;text;‘A Funa n’Ganna
40;text;‘A Paposcia
41;text;‘O Curtiello
42;text;‘O Cafè
43;text;Onna pereta fore ‘O barcone
44;text;‘E Ccancelle
45;text;‘O Vino bbuono
46;text;‘E Denare
47;text;‘O Muorto
48;text;‘O Muorto che pparla
49;text; ‘O Piezzo ‘e Carne
50;text;‘O Ppane
51;text;‘O Ciardino
52;text;‘A Mamma
53;text;‘O Viecchio
54;text;‘O Cappiello
55;text;‘A Museca
56;text;‘A Caruta
57;text;‘O Scartellato
58;text;‘O Paccotto
59;text;‘E Pile
60;text;Se Lamenta
61;text;‘O Cacciatore
62;text;‘O Muorto acciso
63;text;‘A Sposa
64;text;‘A Sciammeria
65;text;‘O Chianto
66;text;‘E ddoie Zetelle
67;text;‘O Totaro int”a Chitarra
68;text;‘A Zuppa cotta
69;text;SotteNcoppa
70;text;‘O Palazzo
71;text;L’Ommo ‘e Merda
72;text;A Maraviglia
73;text;‘O Spitale
74;text;‘A Rotta
75;text;Pullecenella
76;text;‘A Funtana
77;text;‘E Riavulille
78;text;‘A bella Figliola
79;text;‘O Mariuolo
80;text;‘A Vocca
81;text;‘E Sciure
82;text;‘A Tavula ‘mbandita
83;text;‘O Maletiempo
84;text;‘A Cchiesa
85;text;‘Ll Aneme ‘o Priatorio
86;text;‘A Puteca
87;text;‘E Perucchie
88;text;‘E Casecavalle
89;text;‘A Vecchia
90;text;‘A Paura
